Image,True_Label,True_Label_Name,Predicted_Label,Predicted_Label_Name,Correct
3650945359.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1222304315.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3457432982.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
4165541319.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3556675221.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1336580642.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
3973659068.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3656419119.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
3471284965.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2273730548.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2483045169.jpg,0,Cassava Bacterial Blight (CBB),2,Cassava Green Mottle (CGM),False
1539533561.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2693766321.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
4289669666.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3176671585.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
53200283.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1396822256.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2740084860.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1816076936.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
2318645335.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3186714136.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2365326310.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
235479847.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2270851426.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2005545104.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3660043858.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1342343254.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
4000520733.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1281314946.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3533601057.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
3624421327.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
724195836.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2154562670.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
429832892.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
2795015114.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1203861431.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
459566440.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3693127282.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
954778743.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3042546896.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3824530434.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1408296206.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3219226576.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
553294224.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2721367829.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
539640759.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
182316349.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2235761050.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2181262010.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2955071995.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2243019094.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
255110661.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
472839300.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
3686283354.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
370269140.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
4043153792.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
109816879.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2889965946.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
387432753.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
2464983758.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2717138442.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2473268326.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1784661840.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
208548099.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
697621030.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2665787416.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2710475925.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
678699468.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
1448397186.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
4088770277.jpg,0,Cassava Bacterial Blight (CBB),2,Cassava Green Mottle (CGM),False
1692621028.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2741136173.jpg,0,Cassava Bacterial Blight (CBB),3,Cassava Mosaic Disease (CMD),False
981961513.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3734410646.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
3964970132.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
4220488715.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
2582422304.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
813697698.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
3368505651.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
4165383936.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1430955699.jpg,0,Cassava Bacterial Blight (CBB),1,Cassava Brown Streak Disease (CBSD),False
692019924.jpg,0,Cassava Bacterial Blight (CBB),4,Healthy,False
1578564024.jpg,0,Cassava Bacterial Blight (CBB),0,Cassava Bacterial Blight (CBB),True
